CWPName,SourceID,CWPStreet,CWPCity,CWPState,CWPZip,RegistryID,FacLat,FacLong,CWPTotalDesignFlowNmbr,CWPActualAverageFlowNmbr,CWPFacilityTypeIndicator,CWPFacilityTypeCode,NPDESIDs
CITY OF NASSAU BAY WWTP,TX0023833,18920 POINT LOOKOUT DR,NASSAU BAY,TX,77058,1.10001E+11,29.533582,-95.090506,1.33,1.33,POTW,MWD,TX0023833
CITY OF NAVASOTA OLD WWTP,TX0071790,108 NORTH PEOPLES ST,NAVASOTA,TX,77868,1.10065E+11,30.383528,-96.101056,1.8,1.8,POTW,MWD,TX0071790
CITY OF NEDERLAND WWTP,TX0026476,515 HARDY AVE,NEDERLAND,TX,77627,1.10001E+11,29.95744,-93.99979,5.2,5.2,POTW,MWD,TX0026476
CITY OF NEW BOSTON WWTP,TX0026018,725 HWY 8,NEW BOSTON,TX,75570,1.1004E+11,33.435644,-94.409774,1.7,1.7,POTW,MWD,TX0026018
CITY OF NORTH LAS VEGAS WATER RECLAMATION FACILITY,NV0023647,APN 14016401007,UNINCORPORATED CLARK COUNTY,NV,89156,1.10065E+11,36.205403,-115.055219,50,25,POTW,CTG,NV0023647
CITY OF ORANGE BEACH WASTEWATER TREATMENT FACILITY,AL0081124,3900 WILLIAM SILVERS PARKWAY,ORANGE BEACH,AL,36561,1.10046E+11,30.290833,-87.638611,10,1.95,POTW,CTG,AL0052515 AL0081124 ALL052515 ALL081124
CITY OF PAMPA WWTP,TX0027618,8780 WASTEWATER TREATMENT RD,PAMPA,TX,79065,1.10065E+11,35.572856,-100.929587,3,3,POTW,MWD,TX0027618
CITY OF PARIS WWTF,TX0027910,1.7 MI NE INTEX FMR 1499 AND US HWY 271,PARIS,TX,75460,1.10035E+11,33.661353,-95.556318,7.25,7.25,POTW,CTG,TX0027910 TXR05S131
CITY OF PASADENA MS4,TXS001701,HARRIS COUNTY,PASADENA,TX,77501,1.10002E+11,29.692729,-95.197265,,,NON-POTW,CTG,TXS001701
CITY OF PASADENA WWTP,TX0134813,100 YDS S OS SPENCER HWY,PASADENA,TX,77505,1.10065E+11,29.664036,-95.142403,10,10,POTW,CTG,TX0134813
CITY OF PEARSALL WWTP,TX0032719,"ON OLD LOMA VISTA RD, 0.25 MI NE INTEX FM 1581",PEARSALL,TX,78061,1.10065E+11,28.883,-99.112167,1.95,1.95,POTW,MWD,TX0032719
CITY OF PEORIA - BUTLER DRIVE WRF,AZ0025119,8660 N 79TH AVE,PEORIA,AZ,85345,1.1002E+11,33.55169,-112.27457,10,,POTW,MWD,AZ0025119
CITY OF PETERSBURG,WV0021792,429 VIRGINIA AVENUE,PETERSBURG,WV,26847,1.10011E+11,38.993219,-79.119769,1.35,,POTW,MWD,WV0021792
CITY OF PHARR WWTP,TX0062219,2400 S VETERANS BLVD,PHARR,TX,78577,1.10065E+11,26.163722,-98.172278,8,,POTW,MWD,TX0062219
CITY OF PHOENIX - 23RD AVENUE WWTP,AZ0020559,2470 S 22ND AVE,PHOENIX,AZ,85009,1.10001E+11,33.42424,-112.10627,63,,POTW,MWD,AZ0020559 AZMS66154 AZMS80180
CITY OF PHOENIX - 91ST AVENUE WWTP,AZ0020524,5615 S 91ST AVE,PHOENIX,AZ,85353,1.10001E+11,33.39359,-112.25431,230,,POTW,MWD,AZ0020524 AZMS66176
CITY OF PHOENIX - VAL VISTA WATER TREATMENT PLANT,AZ0023442,3200 E MCDOWELL RD,MESA,AZ,85213,1.10002E+11,33.4664,-111.76402,5.3,,NON-POTW,MWD,AZ0023442
CITY OF PIPERTON WASTE WATER TREATMENT PLANT,TN0080764,"NORTH OF HIGHWAY 57, EAST OF MT. ZION RD., ADJACEN",PIPERTON,TN,38017,1.10065E+11,35.045524,-89.621613,3,3,POTW,MWD,TN0080764 TNL080764
CITY OF PLAINVIEW WWTF,TX0047571,1059 CR Y,PLAINVIEW,TX,79072,1.1001E+11,34.169807,-101.676836,3.3,3.3,POTW,MWD,TX0047571
CITY OF PLANO MS4,TXS001801,IN THE CORPORATE BOUNDARY OF T,PLANO,TX,75074,1.10002E+11,33.01641,-96.61276,0.5,0.5,NON-POTW,CTG,TXS001801
CITY OF PORTLAND WWTP,TX0055433,1095 MOORE AVE (,PORTLAND,TX,78374,1.10001E+11,27.878498,-97.332088,2.5,2.5,POTW,MWD,TX0055433 TXR05ED69
CITY OF POST FALLS WATER RECLAMATION FACILITY,ID0025852,2002 WEST SELTICE WAY,POST FALLS,ID,83854,1.10065E+11,47.708028,-116.929807,3.48,,POTW,CTG,ID0025852 IDL025852 IDR1002OG IDS028231
CITY OF RAWLINS WASTEWATER TREATMENT FACILITY,WY0020427,UNKNOWN,UNKNOWN,WY,0,1.10055E+11,41.77719,-107.18226,,,POTW,MXO,WY0020427
CITY OF RAYMONDVILLE WWTP,TX0024546,1405 E SAN FRANCISCO AVE,RAYMONDVILLE,TX,78580,1.10002E+11,26.489917,-97.772806,1.5,1.5,POTW,MWD,TX0024546
"CITY OF RENO, CITY OF SPARKS AND WASHOE COUNTY MS4",NVS000001,431 PRATER WAY,SPARKS,NV,89431,1.10023E+11,39.54104,-119.74897,15,10,NON-POTW,MXO,NVS000001
