CWPName,SourceID,CWPStreet,CWPCity,CWPState,CWPZip,RegistryID,FacLat,FacLong,CWPTotalDesignFlowNmbr,CWPActualAverageFlowNmbr,CWPFacilityTypeIndicator,CWPFacilityTypeCode,NPDESIDs
"LAWRENCE, CITY OF",KS0038644,1400 EAST 8TH STREET,LAWRENCE,KS,66044,1.10002E+11,38.96922,-95.22263,12.5,,POTW,CTG,KS0038644 KSR001395 KSU000562
"LAWRENCE, CITY OF  (WAKARUSA)",KS0099031,2300 E 41ST ST,LAWRENCE,KS,66044,1.10039E+11,38.91376,-95.19953,7,,POTW,CTG,KS0099031 KSR001394
LAWRENCEBURG POWER,IN0060950,582 W EADS PKWY,LAWRENCEBURG,IN,47025,1.10007E+11,39.0908,-84.8666,8,,NON-POTW,POF,IN0060950
LAWRENCEBURG STP,TN0022551,110 EZELL DRIVE,LAWRENCEBURG,TN,38464,1.10005E+11,35.241667,-87.353056,4.5,1.63,POTW,MWD,TN0022551 TNL022551
LAWRENCEBURG STP,KY0021067,1145 US 127 BYPASS N,LAWRENCEBURG,KY,40342,1.10006E+11,38.043333,-84.9225,3.3,2.149,POTW,CTG,KY0021067 KYL021067
"LAWRENCEVILLE STP, CITY OF",IL0029467,1502 3RD STREET,LAWRENCEVILLE,IL,62439,1.10001E+11,38.7215,-87.6735,2.16,1,POTW,MWD,IL0029467 ILL029467
LAWRENCEVILLE WASTEWATER TREATMENT PLANT,VA0020354,380 MEADOWN LN,LAWRENCEVILLE,VA,23868,1.1004E+11,36.7477,-77.83949,1.2,,POTW,CTG,VA0020354
"LAWTON, CITY OF",OK0035246,8104 SE 15TH ST,LAWTON,OK,73501,1.10023E+11,34.522944,-98.378889,18,11.1,POTW,MWD,OK0035246
LBVSD ATHERTON WWTP,MO0101087,21208 E OLD ATHERTON RD,INDEPENDENCE,MO,64058,1.10001E+11,39.163078,-94.324898,,,POTW,MWD,MO0101087 MOL101087 MOR105079 MORA00150
LCA ALLENTOWN DIVISION WWTP,PA0026000,112 W UNION ST,ALLENTOWN,PA,18102-4912,1.10001E+11,40.601667,-75.453333,40,,POTW,CTG,PA0026000 PA0063665
LCDPW - MILL CREEK WRF,IL0071366,16750 WEST ANCONA AVENUE,OLD MILL CREEK,IL,60083,1.10001E+11,42.413716,-87.958671,7.8,2.1,POTW,MWD,IL0071366 ILL071366
LCPWD-NEW CENTURY TOWN WRF,IL0022071,50 SOUTH AMERICAN WAY,VERNON HILLS,IL,60061,1.10064E+11,42.225556,-87.938889,18,6,POTW,MWD,IL0022071 ILL022071
LCY ELASTOMERS,TX0128015,4803 DECKER DR,BAYTOWN,TX,77520,1.10001E+11,29.772089,-95.019464,0.275,0.275,NON-POTW,POF,TX0128015 TXR05T536 TXR15972R
LE MARS CITY OF STP,IA0036536,705 5TH AVENUE NW,LE MARS,IA,51031,1.1004E+11,42.801111,-96.217778,4.73,3.59,POTW,MWD,IA0036536
LE ROY (V) WWTP,NY0030546,7500 RED MILL ROAD,LE ROY,NY,14482,1.10019E+11,42.990417,-77.985472,1,,POTW,MWD,NY0030546
LE ROY R SUMMERSON WWTF,NY0027561,251 PORT WATSON STREET,CORTLAND,NY,13045,1.1002E+11,42.59852,-76.15883,9,,POTW,MWD,NY0027561
LE SUEUR WWTF,MN0068195,1500 N COMMERCE ST,LE SUEUR,MN,560581118,1.10065E+11,44.476505,-93.904075,1.842,1.842,POTW,CTG,MN0068195 MNL068195
LEAD - DEADWOOD SANITARY DISTRICT,SD0020796,PO BOX 413,DEADWOOD,SD,57732,1.1004E+11,44.386625,-103.71224,2,2,POTW,MWD,SD0020796
LEADVILLE SANITATION DISTRICT,CO0021164,13867 S HWY 24,LEADVILLE,CO,80461,1.10012E+11,39.228611,-106.328056,1.15,,POTW,MWD,CO0021164 COR411153
LEAF RIVER CELLULOSE LLC,MS0031704,BUCK CREEK ROAD,PERRY COUNTY,MS,39462,1.10057E+11,31.244429,-89.045353,16.4,,NON-POTW,POF,MS0031704 MSR110118 MSR321403
LEAR CORPORATION WWTP,NC0002305,1754 NC HWY 903 N,KENANSVILLE,NC,28349,1.1E+11,35.018266,-77.8616,1.5,,NON-POTW,POF,NC0002305 NCG170139
"LEAVENWORTH, CITY OF",KS0036366,1800 S 2ND STREET,LEAVENWORTH,KS,66048,1.10007E+11,39.30149,-94.90527,6.88,,POTW,CTG,KS0036366
LEAVITT E. MAGRATH WASTEWATER TREATMENT PLAN,NH0100625,1 HARDARDT'S WAY,HAMPTON,NH,3842,1.10002E+11,42.924904,-70.817131,4.7,,POTW,MWD,NH0100625
LEBANON STP,KY0026549,700 W MAIN ST,LEBANON,KY,40033,1.10002E+11,37.5625,-85.272222,3,2.189,POTW,CTG,KY0026549 KYL026549
LEBANON WWTF,NH0100366,28 MARKET STREET,WEST LEBANON,NH,3784,1.10002E+11,43.636805,-72.320541,3.18,,POTW,MWD,NH0100366 NHL100366 NHR053176 NHR053319 NHR053363
LEBANON WWTP,OH0021059,1525 MASON MORROW MILLGROVE RD,LEBANON,OH,45036,1.10001E+11,39.37233,-84.24229,6,,POTW,MWD,OH0021059
LEBANON WWTP,MO0089010,1727 MAIN,LEBANON,MO,65536,1.1001E+11,37.705194,-92.652528,,,POTW,MWD,MO0089010
LEBANON WWTP,IN0020818,802 LAFAYETTE AVE,LEBANON,IN,46052,1.10007E+11,40.053884,-86.480144,3.4,8.6,POTW,MWD,IN0020818
LEBANON WWTP,OR0020818,33110 TENNESSEE RD,LEBANON,OR,97355,1.10014E+11,44.549989,-122.897701,3,,POTW,MWD,OR0020818 ORL020818
LECLAIRE CITY OF STP,IA0022012,1800 IOWA DRIVE,LE CLAIRE,IA,52753,1.1001E+11,41.590307,-90.36644,2.56,1.54,POTW,MWD,IA0022012
LEDVANCE LLC,ME0002381,200 BALLARDVALE ST,WILMINGTON,MA,1887,1.1E+11,44.085155,-69.374928,,0.12,NON-POTW,POF,ME0002381
LEE CO & CO APP - MS4,FLS000035,1500 MONROE ST,FORT MYERS,FL,33901-5500,1.10011E+11,26.623151,-81.882909,,,NON-POTW,CNG,FLS000035
LEE COUNTY UTILITIES - FIESTA VILLAGE,FL0039829,1366 SAN SOUCI DR,FORT MYERS,FL,33919-6384,1.10001E+11,26.541003,-81.904221,5,1.21,POTW,CNG,FL0039829 FLL039829 FLR05B998
LEE LAKE WRF,CA8000100,22646 TEMESCAL CANYON ROAD,CORONA,CA,92883,1.1004E+11,33.795031,-117.499457,1.58,0,POTW,MWD,CA8000100 CAL000100
LEE STEAM ELECTRIC PLANT,NC0003417,1677 OLD SMITHFIELD RD,GOLDSBORO,NC,27533,1.1E+11,35.37991,-78.087688,0,,NON-POTW,POF,NC0003417
LEEDS WRF,AL0067067,800 HELEN STREET,LEEDS,AL,35094,1.10007E+11,33.5349,-86.5606,2,1.19,POTW,CNG,AL0067067 ALL067067
LEESBURG TOWN - WATER POLLUTION CONTROL DIVISION,VA0092282,1391 RUSSELL BRANCH PKWY SE,LEESBURG,VA,20175,1.10002E+11,39.09505,-77.52865,7.5,,POTW,CTG,MD0066184 MDL066184 VA0092282 VAL092282
"LEESBURG, CITY OF (LEESBURG WPCP)",GA0026638,GA HIGHWAY 32,LEESBURG,GA,31763,1.1001E+11,31.717167,-84.183361,1.2,0.576,POTW,CTG,GA0026638 GAL026638
"LEESVILLE, CITY OF",LA0043575,2110 UNIVERSITY PARKWAY,LEESVILLE,LA,71446,1.1004E+11,31.116039,-93.256846,2.1,,POTW,MWD,LA0043575
LEETSDALE PLT,PA0000566,100 WASHINGTON ST,LEETSDALE,PA,15056-1000,1.1E+11,40.574131,-80.221311,0.9,,NON-POTW,COR,PA0000566
LEHIGH ACRES MUNICIPAL SERVICES IMPROVEMENT DISTRICT,FLS266990,101 CONSTRUCTION LN,LEHIGH ACRES,FL,33936,1.1002E+11,26.61441,-81.65324,,,NON-POTW,MWD,FLR05F789 FLS266990
LEHIGH PERMANENTE PLANT,CA0030210,24001 STEVENS CREEK BLVD,CUPERTINO,CA,95014,1.1E+11,37.3181,-122.091,4.08,,NON-POTW,POF,CA0030210 CAF001168
LEITCHFIELD STP,KY0022934,218 COMMERCE DR,LEITCHFIELD,KY,42754,1.10001E+11,37.464878,-86.29097,2,1.22,POTW,CTG,KY0022934 KYL022934
LEITH CREEK WWTP,NC0020656,HALL ST EXTENSION,LAURINBURG,NC,28352,1.10007E+11,34.763953,-79.447066,4,,POTW,MWD,NC0020656 NCG110123 NCL020656
LENOIR CITY UTILITIES BOARD W.W.T.P.,TN0020494,200 DEPOT ST,LENOIR CITY,TN,37771,1.10007E+11,35.76091,-84.275476,3,1.5,POTW,MWD,TN0020494 TNL020494
LEOMINSTER W W T P,MA0100617,436 MECHANIC ST,LEOMINSTER,MA,1453,1.10024E+11,42.521522,-71.739264,9.3,,POTW,MWD,MA0100617 MAL100617 MANOEJ07E
LEON CO & CO APP - MS4,FLS000033,2280 MICCOSUKEE RD,TALLAHASSEE,FL,32308-5310,1.10003E+11,30.46225,-84.24411,,,NON-POTW,CNG,FLG510017 FLS000033
LEON CREEK WATER RECYCLING CENTER WWTP,TX0052639,1104 MAUERMAN ROAD,SAN ANTONIO,TX,78224,1.10001E+11,29.276833,-98.514417,46,46,POTW,MWD,TX0052639
LEON PLANT WWTP,TX0024953,1100 COLLEGE ST,GATESVILLE,TX,76528,1.10065E+11,31.426577,-97.74531,1.5,1.5,POTW,MWD,TX0024953 TXR05DE45 TXR05FY73
LEONARD L NARY WWTP @ MONTOUR RUN,PA0028801,1935 HASSEM ROAD,MOON TOWNSHIP,PA,15108,1.10001E+11,40.4915,-80.15088,6.2,,POTW,CTG,PA0028801
LEONI TWP WWTP,MI0045942,8401 PAGE AVENUE,JACKSON,MI,49201,1.10007E+11,42.2327,-84.26142,,,POTW,CTG,MI0045942
LESOURDSVILLE WATER RECLAMATION FACILITY,OH0049417,5260 HAMILTON-MIDDLETOWN RD,HAMILTON,OH,45011,1.1001E+11,39.43215,-84.44224,15,,POTW,MWD,OH0049417
LEWISBURG JT AUTH - E BUFFALO,PA0044661,697 RIVER RD,LEWISBURG,PA,17837,1.1001E+11,40.9488,-76.8865,2.42,,POTW,CTG,PA0044661 PAL044661
LEWISBURG STP,TN0022888,100 WATER STREET,LEWISBURG,TN,37091,1.10006E+11,35.45094,-86.78791,3.024,2.04,POTW,MWD,TN0022888 TNL022888
LEWISTON MASTER SD,NY0027766,501 PLETCHER ROAD,LEWISTON,NY,14092,1.10004E+11,43.17405,-79.04443,2.75,,POTW,MWD,NY0024481 NY0027766
"LEWISTON, CITY OF - LEWISTON WWTP",ID0022055,900 7TH AVENUE NORTH,LEWISTON,ID,83501,1.10006E+11,46.427719,-117.021628,5.7,,POTW,CTG,ID0022055 IDL022055
LEWISTON-AUBURN WWTF,ME0101478,535 LINCOLN ST,LEWISTON,ME,4240,1.1001E+11,44.075556,-70.204444,14.2,,POTW,MWD,ME0101478 MEL101478 MER05B529 MEU250571
LEWISTOWN STP,PA0026280,293 WASHINGTON AVE,LEWISTOWN,PA,17044,1.1001E+11,40.586041,-77.570129,2.818,,POTW,CTG,PA0026280
LEWISTOWN WWTP,MT0020044,620 METIS STREET,LEWISTOWN,MT,59457,1.10019E+11,47.0735,-109.43875,2.83,,POTW,MWD,MT0020044
LEX/FAYETTE URBAN CO GOVT,KYS000002,200 EAST MAIN ST,LEXINGTON,KY,40507,1.10064E+11,38.04484,-84.49536,888,,NON-POTW,CTG,KYS000002
LEXINGTON REGIONAL WWTP,NC0055786,500 GLENDALE RD,LEXINGTON,NC,27292,1.10001E+11,35.770895,-80.241251,6.5,,POTW,MWD,NC0055786 NCG110093 NCL055786
LEXINGTON TOWN BRANCH STP,KY0021491,301 JIMMIE CAMPBELL DR,LEXINGTON,KY,40504,1.10065E+11,38.063333,-84.533889,30,21.828,POTW,CTG,KY0021491 KYL021491
LEXINGTON UTILITIES- WASTE WATER TREATMENT PLANT,TN0024341,677 SOUTH MAIN STREET; MAIL TO 54 MONROE AVE.,LEXINGTON,TN,38351,1.10006E+11,35.627571,-88.387545,3.2,1.44,POTW,CTG,TN0024341 TNL024341
LEXINGTON WASTEWATER TREATMENT FACILITY,NE0042668,1202 EAST WALNUT,LEXINGTON,NE,68850,1.10007E+11,40.76545,-99.7195,2,,POTW,MWD,NE0042668 NEL042668
LEXINGTON WEST HICKMAN STP,KY0021504,645 W HICKMAN PLANT RD,NICHOLASVILLE,KY,40356,1.10045E+11,37.945722,-84.499778,33.87,20.391,POTW,CTG,KY0021504 KYL021504 KYR10H771 KYR10H861
LEXINGTON WWTP,OH0020257,205 S MILL ST,LEXINGTON,OH,44904,1.10011E+11,40.678725,-82.58454,1.5,,POTW,MWD,OH0020257
LEXINGTON-ROCKBRIDGE REGIONAL WQCF,VA0088161,135 BOB AKINS CIRCLE,LEXINGTON,VA,24450,1.10006E+11,37.795135,-79.414588,3,,POTW,CTG,VA0088161 VAL088161 VAN040068
LIBBY WWTP,MT0020494,755 CITY SERVICE ROAD,LIBBY,MT,59923,1.1004E+11,48.39878,-115.55789,,,POTW,MWD,MT0020494 MTR000752
"LIBERAL, CITY OF",KS0080870,1701 COUNTRY ESTATES ROAD,LIBERAL,KS,67905,1.10007E+11,37.025489,-100.904269,5,,POTW,CTG,KS0080870
LIBERTY (V) WWTF,NY0030074,WILLOW LANE,LIBERTY,NY,12754,1.10007E+11,41.782167,-74.730361,2,,POTW,MWD,NY0030074
LIBERTY DRILLING AND PRODUCTION ISLAND,AK0053805,BEAUFORT SEA - STEFANSSON SOUND,PRUDHOE BAY,AK,99734,1.10039E+11,70.2742,-147.5872,,,NON-POTW,POF,AK0053805
LIBERTY HILL REGIONAL WWTP,TX0126195,5000' N SOUTH FORK SAN GABRIEL RIVER AND 2000',WILLIAMSON COUNTY,TX,78703,1.10034E+11,30.616972,-97.84675,4,4,POTW,MWD,TX0126195
LIBERTY LAKE SEWER & WATER DIST,WA0045144,N 2218 HARVARD RD,LIBERTY LAKE,WA,99109-0184,1.10005E+11,47.676912,-117.109289,24,,POTW,MWD,WA0045144 WAL045144 WAR304174
LIBERTY STEEL/GEORGETOWN,SC0001431,420 S. HAZARD ST.,GEORGETOWN,SC,29440,1.10002E+11,33.36302,-79.29611,,,NON-POTW,POF,SC0001431 SCR000124 SCR006039
LIBERTY WWTP,MO0137111,1.16 MILES SW OF S LIBERTY PARKWAY,LIBERTY,MO,64068,1.1007E+11,39.26432,-94.44017,,,POTW,MWD,MO0137111 MOL137111
"LIBERTYVILLE STP, VILLAGE OF",IL0029530,1532 ARTAIUS PARKWAY,LIBERTYVILLE,IL,60048,1.10018E+11,42.25765,-87.94561,8,4,POTW,MWD,IL0029530 ILL029530
LICK CREEK WWTP,TX0093262,14802 ROCK PRARIE RD,COLLEGE STATION,TX,78845,1.10071E+11,30.571138,-96.217745,5,2,POTW,MWD,TX0093262 TXR05CU93 TXR05FH77 TXR15664V
LIFE TECHNOLOGIES CORP,NY0000400,3175 STALEY ROAD,"GRAND ISLAND, TOWN OF",NY,14072,1.10001E+11,43.00632,-79.0104,,0.048,NON-POTW,POF,NY0000400
"LIGHTHOUSE POINT, CITY OF",FLS266345,2200 NE 38TH ST,LIGHTHOUSE POINT,FL,33064,1.10036E+11,26.27769,-80.09375,,,NON-POTW,MWD,FLS266345
LIGONIER WWTP,IN0023582,305 BRANCH ST,LIGONIER,IN,46767,1.10001E+11,41.467389,-85.598667,1.5,5.33,POTW,MWD,IN0023582
LIMA REFINERY,OH0002623,1150 S METCALF ST,LIMA,OH,45804,1.1E+11,40.720649,-84.122623,,20.99,NON-POTW,POF,OH0002623
LIMA WWTP,OH0026069,1200 FORT AMANDA RD,LIMA,OH,45804,1.10001E+11,40.72298,-84.12747,18.5,,POTW,MWD,OH0026069
LIMERICK GENERATING STA,PA0051926,3146 SANATOGA RD,POTTSTOWN,PA,19464-3418,1.10007E+11,40.230541,-75.581676,32.41,,NON-POTW,COR,PA0051926
LIMESTONE ELECTRIC GENERATING STATION,TX0082651,3964 FMR 39,LIMESTONE COUNTY,TX,75846,1.10064E+11,31.378526,-96.276934,2.304,2.304,NON-POTW,POF,TX0082651
LINCOLN CITY STP,OR0020478,5000 SE PORT,LINCOLN CITY,OR,97367,1.10009E+11,44.930977,-124.007396,3,,POTW,MWD,OR0020478 ORL020478 ORR900004
LINCOLN NORTHEAST WATER RESOURCE RECOVERY FACILITY,NE0112488,7000 N 70TH STREET,LINCOLN,NE,68507,1.10001E+11,40.88259,-96.6245,10,3.23,POTW,MWD,NE0112488 NEL112488
"LINCOLN STP, CITY OF",IL0029564,150 W KICKAPOO ST,LINCOLN,IL,62656,1.10001E+11,40.139306,-89.373997,10.27,3.88,POTW,MWD,IL0029564 ILL029564 ILX0126SC
LINCOLN THERESA STREET WATER RESOURCE RECOVERY FACILITY,NE0036820,2400 THERESA STREET,LINCOLN,NE,68521,1.10001E+11,40.83803,-96.68647,27.4,25,POTW,MWD,NE0036820 NEL036820
LINCOLN WASTEWATER TREATMENT AND RECLAMATION FACILITY,CA0084476,1245 FIDDYMENT ROAD,LINCOLN,CA,95648,1.10013E+11,38.86679,-121.349344,8.4,5.4,POTW,MWD,CA0084476 CA0085103 CAZ199250
LINCOLN WASTEWATER TREATMENT FACILITY,NH0100706,16 RECYCLE ROAD,LINCOLN,NH,3251,1.10011E+11,44.0373,-71.6745,1.52,,POTW,CTG,NH0100706 NHL100706
LINCOLN WWTF,ME0101796,56 HAYNES ST,LINCOLN,ME,4457,1.10007E+11,45.374858,-68.507208,1.07,,POTW,MWD,ME0101796 MEL101796 MERNEB410
LINCOLN WWTP,AL0054356,1045 BLUE SPRINGS ROAD,LINCOLN,AL,35096,1.10056E+11,33.626111,-86.154444,2,0.761,POTW,CTG,AL0054356 ALL054356
LINCOLNTON WWTP,NC0025496,550 W HWY 150 BYPASS,LINCOLNTON,NC,28092,1.1004E+11,35.451,-81.2606,6,,POTW,MWD,NC0025496 NCL025496
LINDA COUNTY WWTP,CA0079651,909 MYRNA AVENUE,MARYSVILLE,CA,95901,1.10002E+11,39.095393,-121.585176,6.7,,POTW,MWD,CA0079651
LINDE INC. - GARY LAKESIDE,IN0000035,500 N CLARK RD,GARY,IN,46406,1.10002E+11,41.631606,-87.402778,,44,NON-POTW,POF,IN0000035
LINDEN ROSELLE SA,NJ0024953,5005 S WOOD AVE,LINDEN CITY,NJ,70360000,1.10001E+11,40.609387,-74.220417,17,17,POTW,MWD,NJ0024953 NJG155454 NJG303968 NJL024953
LINDENHURST SD STP,IL0020796,2060 GRASS LAKE ROAD,LINDENHURST,IL,60046,1.10018E+11,42.430058,-88.032259,5.7,2,POTW,MWD,IL0020796 ILL020796
LINTON WWTP,IN0020575,12TH ST SE,WEST LINTON,IN,47441,1.1001E+11,39.032,-87.146528,2.15,1.5,POTW,MWD,IN0020575
"LION COPOLYMER GEISMAR, LLC",LA0000752,36191 HWY 30,GEISMAR,LA,70734,1.1E+11,30.205046,-91.005453,,2.31,NON-POTW,POF,LA0000752
LION ELASTOMERS ORANGE,TX0002968,"S SIDE FM 1006, APPROX 1MI E",ORANGE,TX,77630,1.10065E+11,30.044944,-93.788028,,1.202,NON-POTW,POF,TX0002968
LION OIL CO-EL DORADO REFINERY,AR0000647,1000 MCHENRY AVE,EL DORADO,AR,71730,1.10017E+11,33.200091,-92.675095,,3.2,NON-POTW,POF,AR0000647 ARG670856 ARR000686 ARU000070
LISBON WWTF,ME0100307,744 LISBON RD,LISBON,ME,4250,1.10002E+11,43.994976,-70.048292,2.025,,POTW,MWD,ME0100307 MEL100307 MER05B920
LITCHFIELD PARK SERVICE COMPANY - PALM VALLEY WRF,AZ0025712,14222 W MCDOWELL RD,GOODYEAR,AZ,85395,1.10037E+11,33.46797,-112.34556,5.1,,NON-POTW,POF,AZ0025712
LITCHFIELD STP,IL0020621,1350 EAST RYDER ST,LITCHFIELD,IL,62056,1.10025E+11,39.174242,-89.63748,5.35,2.14,POTW,MWD,IL0020621 ILL020621 ILR006205
LITCHFIELD WWTP,MN0023973,1350 ARMSTRONG AVE NO,LITCHFIELD,MN,55355,1.10009E+11,45.11562,-94.52364,2.37,,POTW,MWD,MN0023973 MNL023973
LITHIUM DIVISION PLANT,NC0005177,NC HWY 161,BESSEMER CITY,NC,28016,1.10065E+11,35.262222,-81.299167,0.615,,NON-POTW,POF,NC0005177
LITITZ STP,PA0020320,50 LITITZ RUN RD,LITITZ,PA,17543-8503,1.10008E+11,40.15321,-76.28419,3.85,,POTW,CTG,PA0020320 PAL020320
LITTLE CEDAR BAYOU WWTP,TX0022799,1301 S 4TH STREET,LA PORTE,TX,77571,1.10001E+11,29.64986,-95.023159,7.56,7.56,POTW,MWD,TX0022799 TXR05S813 TXU010508
LITTLE CREEK RESOURCE RECOVERY FACILITY,NC0079316,1419 NC 39,ZEBULON,NC,27597,1.10001E+11,35.815011,-78.271911,2.2,,POTW,MWD,NC0079316 NCG110049 NCL079316
LITTLE ELM WWTP,TX0053783,1600 MARK TREE LANE,LITTLE ELM,TX,75068,1.1001E+11,33.16625,-96.90954,4,4,POTW,MWD,TX0053783
LITTLE FALLS (C) WWTP,NY0022403,223 RIVER ROAD EAST,LITTLE FALLS,NY,13365,1.10019E+11,43.03466,-74.8291,7,,POTW,MWD,NY0022403 NYR00E596
LITTLE FALLS RUN WASTEWATER TREATMENT FACILITY,VA0076392,100 MICHAEL SCOTT LANE,FREDERICKSBURG,VA,22405,1.10011E+11,38.26138,-77.41134,8,,NON-POTW,COR,VA0076392 VAL076392
LITTLE FALLS WWTP,MN0020761,900 HILLTON RD,LITTLE FALLS,MN,563453403,1.1004E+11,45.96608,-94.36781,2.4,2.4,POTW,CTG,MN0020761 MNL020761
LITTLE MIAMI WWTP,OH0025453,225 WILMER AVE,CINCINNATI,OH,45226,1.1001E+11,39.10242,-84.43184,55,,POTW,MWD,OH0025453
LITTLE PATUXENT WATER RECL.PLT,MD0055174,8900 GREENWOOD PLACE,SAVAGE,MD,20763,1.10056E+11,39.1251,-76.81271,25,,POTW,MWD,MD0055174 MD09I0305 MDL055174 MDR000260
LITTLE RAPIDS CORP SHAWANO PAPER MILL,WI0001341,W7575 POPLAR RD AT HWY MM,SHAWANO,WI,54166,1.10006E+11,44.77561,-88.62285,,,NON-POTW,POF,WI0001341
"LITTLE ROCK, CITY OF/AHTD MS4",ARS000002,10324 INTERSTATE 30,LITTLE ROCK,AR,72203,1.10065E+11,34.670554,-92.382098,,,NON-POTW,CTG,ARS000002
LITTLESTOWN STP,PA0021229,2136 WHITEHALL RD,LITTLESTOWN,PA,17340,1.1004E+11,39.756133,-77.091341,1,,POTW,CTG,PA0021229
LITTLETON TOWN OF,NH0100153,323 MEADOW STREET,LITTLETON,NH,3561,1.10001E+11,44.30882,-71.79048,1.5,,POTW,MWD,NH0100153 NHL100153
"LITTLETON/ENGLEWOOD, CITIES OF",CO0032999,2900 S PLATTE RIVER DR,ENGLEWOOD,CO,80110,1.10056E+11,39.66133,-105.00381,50,,POTW,MWD,CO0032999 COG650019 COL032999 COR900821
LIVE OAK WWTP,CAC444735,3450 TREATMENT RD,LIVE OAK,CA,95953,1.10066E+11,39.275407,-121.661039,1.4,,NON-POTW,MWD,CAC444735
LIVERMORE FALLS WWTF,ME0100315,108 FOUNDRY RD,LIVERMORE FALLS,ME,4254,1.10007E+11,44.464447,-70.182798,2,2,POTW,MWD,ME0100315 MEL100315
LIVINGSTON MANOR STP,NY0025437,COVERED BRIDGE RD - S OF ST RTE 17,LIVINGSTON MANOR,NY,12758,1.1002E+11,41.9085,-74.831222,0.8,,POTW,MWD,NY0025437
LIVINGSTON PARISH SD NO. 1 & 2,LA0067784,3 ME OF LA 16,DENHAM SPRINGS,LA,70754,1.1004E+11,30.525503,-90.937889,0.79,,POTW,MWD,LA0067784
LIVINGSTON STP,TN0021873,249 VOLUNTEER DRIVE,LIVINGSTON,TN,38570,1.1001E+11,36.359229,-85.344134,1.62,1.48,POTW,MWD,TN0021873 TNL021873
LIVINGSTON WATER POLLUTION CONTROL  FACILITY,NJ0024511,81 NAYLON AVE,LIVINGSTON TWP,NJ,7039,1.10001E+11,40.807989,-74.341872,4.6,,POTW,MWD,NJ0024511 NJG156779 NJL024511
LLOYD HIGHLAND SEWER DISTRICT STP,NY0024295,15 RIVER ROAD,HIGHLAND,NY,12528,1.10019E+11,41.7183,-73.95125,1.75,,POTW,MWD,NY0024295
LNVA NORTH REGIONAL TREATMENT PLANT,TX0062677,2655 GULF STATES RD,BEAUMONT,TX,77726,1.1E+11,30.06329,-94.061311,21,21,NON-POTW,POF,TX0062677
LOCHBUIE TOWN OF,CO0047198,1794 WCR 39,WELD COUNTY,CO,80603,1.10024E+11,40.028317,-104.696258,2,,POTW,MWD,CO0047198
LOCK HAVEN CITY AUTHORITY,PA0025933,20 SOUTH HANNA STREET,LOCK HAVEN,PA,17745-2599,1.10001E+11,41.13635,-77.44834,3.75,,POTW,CTG,PA0025933 PAL025933
LOCKHART WWTP 2,TX0113565,167 CREEKVIEW,CALDWELL COUNTY,TX,78644,1.10065E+11,29.870517,-97.626062,1.5,1.5,POTW,MWD,TX0113565
LOCKHEED MARTIN AERONAUTICS COMPANY,GA0001198,86 SOUTH COBB DRIVE,MARIETTA,GA,30063,1.1E+11,33.901361,-84.512194,38.1,3.4,NON-POTW,FDF,GA0001198 GAIS01208
LOCKHEED MARTIN-ELECTRONICS PARK ,NY0002101,497 ELECTRONICS PKWY,LIVERPOOL,NY,13088,1.10001E+11,43.109322,-76.190431,,1.174,NON-POTW,POF,NY0002101
LOCKHEED MARTIN-MST,NY0004057,1801 STATE RTE 17C - MD 0574,OWEGO,NY,13827-3998,1.1E+11,42.09544,-76.22401,,1.608,NON-POTW,POF,NY0004057
LOCKPORT (C) WWTP,NY0027057,611 WEST JACKSON STREET,LOCKPORT,NY,14094-1736,1.10001E+11,43.18433,-78.70412,22,,POTW,MWD,NY0027057
LOCKPORT - BONNIE BRAE FOREST MANOR STP,IL0021261,EARL STREET,LOCKPORT,IL,60441,1.1001E+11,41.59846,-88.04059,6.98,2.26,POTW,MWD,IL0021261 ILL021261
"LOCKPORT STP, CITY OF",IL0029611,425 WEST DIVISION STREET,LOCKPORT,IL,60441,1.10001E+11,41.58227,-88.06617,13.75,5,POTW,MWD,IL0029611 ILG103026 ILL029611
"LOCUST GROVE, CITY OF (INDIAN CREEK WPCP)",GA0038849,1116 LOCUST RD,LOCUST GROVE,GA,30248,1.10065E+11,33.29835,-84.085857,1.5,1.5,POTW,CTG,GA0038849 GAL038849
LOG COLLEGE STP,PA0026166,1050 LOG COLLEGE DR,WARMINSTER,PA,18974-1825,1.10065E+11,40.230327,-75.10679,8.93,,POTW,CTG,PA0026166
LOGAN ALUMINUM INC,KY0072630,6920 LEWISBURG RD,RUSSELLVILLE,KY,42276,1.10044E+11,36.942885,-86.937382,0.472,0.466,NON-POTW,POF,KY0072630
LOGAN CITY CORPORATION,UT0021920,2655 W 200 NORTH,LOGAN,UT,84321,1.10002E+11,41.73642,-111.83484,30,21,POTW,MWD,UT0021920 UTR090011 UTRC04279
LOGAN COUNTY PUBLIC SERVICE DISTRICT WASTEWATER DIVISION,WV0105171,101 PEECH CREEK ROAD,PEACH CREEK,WV,25639,1.10011E+11,37.856759,-81.994037,,,POTW,CNG,WV0105171
LOGAN TOWNSHIP MUA,NJ0027545,69 JEFFERSON LN,LOGAN TWP,NJ,8085,1.10015E+11,39.787893,-75.377619,2,,POTW,MWD,NJ0027545 NJG282898 NJL027545
LOGAN TWP STP,PA0032557,330 LOWER RIGGLES GAP ROAD,ALTOONA,PA,16602,1.10064E+11,40.574478,-78.352005,1.14,,POTW,CTG,PA0032557
